"title_id","content_id","store_classification_2","store_classification_3","serialstation_classification","name"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNDSPCCO0004","ADD-ON","COSTUME/SKIN","DLC","LBP Karting Pirates of the Caribbean Elizabeth Swann Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNDSPCCO0001","ADD-ON","COSTUME/SKIN","DLC","LBP Karting Pirates of the Caribbean Sack Sparrow Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNDSPCCO0005","ADD-ON","COSTUME/SKIN","DLC","LBP Karting Pirates of the Caribbean Tia Dalma Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNDSPCCO0006","ADD-ON","COSTUME/SKIN","DLC","LBP Karting Pirates of the Caribbean Will Turner Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNSONYMP0004","ADD-ON","COSTUME/SKIN","DLC","LBP Karting Rag Doll Kung Fu: Fists of Plastic Pack"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNODDWCO0001","ADD-ON","COSTUME/SKIN","DLC","LBP Karting Stranger Costume from Oddworld: Stranger's Wrath"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLEV5CO0002","ADD-ON","COSTUME/SKIN","DLC","LBP Karting White Knight Chronicles: Black Knight Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLEV5CO0003","ADD-ON","COSTUME/SKIN","DLC","LBP Karting White Knight Chronicles: Dragon Knight Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLEV5CO0004","ADD-ON","COSTUME/SKIN","DLC","LBP Karting White Knight Chronicles: Leonard Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLEV5CO0001","ADD-ON","COSTUME/SKIN","DLC","LBP Karting White Knight Chronicles: White Knight Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPDLCORIGCO0025",NULL,NULL,"DLC","Limited Edition Birthday Cake Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCK01","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Football Fan Pack 1"
